序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
7,给排水,弹性座封闸阀,DN150,0,1.0MPa,0,0,0,0,0,个,3,612.39,1837.17,0.13,238.83210000000003,2076.0021,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
8,给排水,球形污水上回阀,DN80,0,1.0MPa,0,0,0,0,0,个,38,251.33,9550.54,0.13,1241.5702,10792.110200000001,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
9,给排水,球形污水上回阀,DN100,0,1.0MPa,0,0,0,0,0,个,93,320.35,29792.550000000003,0.13,3873.0315000000005,33665.5815,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
10,给排水,球形污水上回阀,DN150,0,1.0MPa,0,0,0,0,0,个,3,620.35,1861.0500000000002,0.13,241.93650000000002,2102.9865,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
11,给排水,铜截止阀,DN50,0,1.6MPa,0,0,0,0,0,个,130,175.22,22778.6,0.13,2961.218,25739.818,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
12,给排水,铜截止阀,DN40,0,1.6MPa,0,0,0,0,0,个,26,104.42,2714.92,0.13,352.93960000000004,3067.8596000000002,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
13,给排水,铜截止阀,DN32,0,1.6MPa,0,0,0,0,0,个,26,74.34,1932.8400000000001,0.13,251.26920000000004,2184.1092000000003,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
14,给排水,铜截止阀,DN25,0,1.6MPa,0,0,0,0,0,个,192,48.67,9344.64,0.13,1214.8032,10559.4432,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
15,给排水,铜截止阀,DN20,0,1.6MPa,0,0,0,0,0,个,33,33.63,1109.7900000000002,0.13,144.27270000000004,1254.0627000000002,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
16,给排水,铜止回阀,DN25,0,1.6MPa,0,0,0,0,0,个,34,52.21,1775.14,0.13,230.7682,2005.9082,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
17,给排水,液位浮球阀,TN150,0,1.6MPa,0,0,0,0,0,个,4,893.81,3575.24,0.13,464.7812,4040.0211999999997,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
18,给排水,"电动阀(开关型220V, 带反馈信号）",DN150,0,1.6MPa,0,0,0,0,0,个,4,795.58,3182.32,0.13,413.70160000000004,3596.0216,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
19,给排水,"电动阀(开关型220V, 带反馈信号）",DN100,0,1.6MPa,0,0,0,0,0,个,4,730.09,2920.36,0.13,379.64680000000004,3300.0068,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
20,给排水,Y型过滤器,DN150,0,1.6MPa,0,0,0,0,0,个,3,440.71,1322.1299999999999,0.13,171.87689999999998,1494.0068999999999,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
21,给排水,Y型过滤器,DN50,0,1.6MPa,0,0,0,0,0,个,6,210.62,1263.72,0.13,164.2836,1428.0036,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
22,给排水,Y型过滤器,DNS5,0,1.6MPa,0,0,0,0,0,个,15,171.68,2575.2000000000003,0.13,334.77600000000007,2909.9760000000006,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
23,给排水,Y型过滤器,DN50,0,1.6MPa,0,0,0,0,0,个,33,167.26,5519.58,0.13,717.5454,6237.1254,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
24,给排水,Y型过滤器,DN32,0,1.6MPa,0,0,0,0,0,个,4,79.65,318.6,0.13,41.418000000000006,360.01800000000003,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
25,给排水,Y型过滤器,DN25,0,1.6MPa,0,0,0,0,0,个,2,40.71,81.42,0.13,10.5846,92.0046,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
26,给排水,膜片式减压阀,DN25,0,0,0,0,0,0,0,个,1,116.81,116.81,0.13,15.185300000000002,131.99530000000001,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
27,给排水,膜片式减压阀,DN50,0,0,0,0,0,0,0,个,7,334.51,2341.5699999999997,0.13,304.40409999999997,2645.9740999999995,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
28,给排水,膜片式减压阀,DN65,0,0,0,0,0,0,0,个,3,610.62,1831.8600000000001,0.13,238.14180000000002,2070.0018,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
29,给排水,膜片式减压阀,IN80,0,0,0,0,0,0,0,个,1,646.9,646.9,0.13,84.097,730.997,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
30,给排水,膜片式减压阀,DN150,0,0,0,0,0,0,0,个,3,1076.11,3228.33,0.13,419.6829,3648.0128999999997,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
31,给排水,可调式减压阀,DN25,0,0,0,0,0,0,0,个,1,116.81,116.81,0.13,15.185300000000002,131.99530000000001,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
32,给排水,可调式减压阀,UN32,0,0,0,0,0,0,0,个,4,135.4,541.6,0.13,70.408,612.008,沃尔芙,2025.1.20，（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的 97%；（5）、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
